STATION,NAME,UNITCODE,Year,Month,DATE,EVAP,EVAPMIN,EVAPMAX,PRECIP,SNOW,SNOWDEPTH,TEMPMAX,TEMPMIN,FOG,THUNDER,ICE,HAIL,RIME
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-18,,,,0.02,0,0,98,69,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-19,,,,0.81,0,0,87,61,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-20,,,,0,0,0,88,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-21,,,,0.44,0,0,79,63,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-22,,,,0,0,0,89,61,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-23,,,,0,0,0,94,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-24,,,,0,0,0,93,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-25,,,,0,0,0,94,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-26,,,,0,0,0,97,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-27,,,,0,0,0,98,69,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-28,,,,0,0,0,95,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-29,,,,0,0,0,96,69,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-30,,,,0,0,0,100,70,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-31,,,,0,0,0,101,76,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-01,,,,0,0,0,98,76,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-02,,,,0,0,0,95,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-03,,,,0,0,0,93,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-04,,,,0,0,0,98,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-05,,,,0,0,0,101,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-06,,,,0,0,0,98,64,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-07,,,,0.24,0,0,100,64,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-08,,,,0.3,0,0,74,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-09,,,,0,0,0,94,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-10,,,,0,0,0,92,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-11,,,,0,0,0,95,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-12,,,,0.07,0,0,81,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-13,,,,0,0,0,99,70,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,8,2015-08-14,,,,0,0,0,99,71,,,,,
