Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,2,550,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,3,632,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,4,"10,364",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,5,"32,580",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,6,"51,253",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,7,"60,421",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,8,"53,252",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,9,"62,625",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,10,"46,780",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,11,"17,574",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,12,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,1,493,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,2,549,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,3,113,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,4,"9,729",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,5,"32,783",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,6,"40,767",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,7,"67,917",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,8,"61,793",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,9,"46,823",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,10,"11,067",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,11,"13,238",0,0,0
